,Doc,Topic,Doc_ID,ticker,sim_sect
285,"United Rentals, Inc. is a holding company that is engaged in the equipment rental business. The Company rents equipment to a varied customer base that includes construction and industrial companies, manufacturers, utilities, municipalities, homeowners, and government entities in the United States, Canada, and Europe. The Company’s segments include general rentals and trench, power and fluid solutions. The general rentals segment includes the rental of general construction and industrial equipment, and material handling equipment, aerial work platforms, such as boom lifts and scissor lifts, and general tools and light equipment, such as pressure washers, water pumps, and power tools. The trench, power and fluid solutions segment includes the rental of specialty construction products such as trench safety equipment, including trench shields, aluminum hydraulic shoring systems, slide rails, crossing plates, construction lasers, and line testing equipment for underground work.",-1,285,URI.N,0.47257936
5156,"Flowserve Corporation is a manufacturer and aftermarket service provider of flow control systems. The Company operates through two segments: Flowserve Pump Division (FPD) and Flow Control Division (FCD). The FPD segment designs, manufactures, pre-tests, distributes and services specialty and engineered custom and pre-configured pumps and pump systems, mechanical seals, auxiliary systems, replacement parts and upgrades and related aftermarket services. The FCD segment designs, manufactures, distributes and services a portfolio of flow control solutions, including engineered and industrial valve and automation systems, isolation and control valves, actuation, controls and related equipment. Its product portfolio of pumps, valves, seals, automation and aftermarket services supports global infrastructure industries, including oil and gas, chemical, power generation, including nuclear, fossil and renewable, and water management, as well as certain industrial markets.",-1,5156,FLS.N,0.4698069
229,"Sempra Energy is an energy infrastructure company. The Company invests in, develops and operates energy infrastructure, and provides electric and gas services to customers through regulated public utilities. The Company’s segments are San Diego Gas & Electric Company (SDG&E), Southern California Gas Company (SoCalGas), Sempra Texas Utilities, Sempra Mexico, and Sempra Liquefied Natural Gas (LNG). SDG&E provides electric services and natural gas services. SoCalGas owns and operates a natural gas distribution, transmission and storage system that supplies natural gas. Sempra Mexico segment includes energy infrastructure business. Sempra LNG develops, builds, operates and invests in natural gas liquefaction export facilities, including natural gas pipelines and infrastructure, and buys, sells and transports natural gas through its marketing operations, all within North America. Sempra Texas Utilities includes its investment in Oncor Holdings.",-1,229,SRE.N,0.46968615
273,"Republic Services, Inc. is a provider environmental services in the United States. The Company's segments include Group 1, Group 2, and Corporate entities and other. Its Group 1 and Group 2 segments provide integrated waste management services. Group 1 consists of geographic areas located in the western United States. Group 2 consists of geographic areas located in the southeastern and mid-western United States, and the eastern seaboard of the United States. Its segments provide integrated environmental services, including collection, transfer, recycling, and disposal services. It operates facilities in approximately 41 states through 345 collection operations, 220 transfer stations, 186 active landfills, 76 recycling processing centers, six treatment, recovery and disposal facilities, nine salt water disposal wells, and seven deep injection wells. It also operates around 75 landfill gas and renewable energy projects and had post-closure responsibility for 128 closed landfills.",-1,273,RSG.N,0.4647141
247,"Dover Corporation is a diversified global manufacturer and solutions provider. The Company is focused on delivering equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services. Its operating segments include Engineered Products, Fueling Solutions, Imaging & Identification, Pumps & Process Solutions, and Refrigeration & Food Equipment. The Engineered Products segment offers a range of products including, software and services. The Fueling Solutions segment is providing components, equipment, and software and service solutions. The Imaging & Identification segment supplies precision marking and coding, product traceability, and digital textile printing equipment. Pumps & Process Solutions segment manufactures specialty pumps, fluid handling components, plastics, and polymer processing equipment, single-use pumps, and flows meters and connectors. Refrigeration & Food Equipment segment provides energy-efficient equipment & systems.",-1,247,DOV.N,0.46421212
325,"Johnson Controls International PLC is a global diversified technology and multi industrial company. The Company is focused on developing energy solutions, integrated infrastructure and transportation systems. Its segments include Building Solutions North America, Building Solutions EMEA/LA, Building Solutions Asia Pacific and Global Products. It designs, manufactures and installs building products and systems around the world, including heating, ventilation and air conditioning (HVAC) equipment, HVAC controls, energy-management systems, security systems, fire detection systems and fire suppression solutions. It provides energy efficiency solutions and technical services, including inspection, scheduled maintenance and replacement of mechanical and control systems. It provides security solutions with Qolsys, DSC, Bentel, Visonic, PowerG and Tyco products. It also designs and manufactures custom air handlers and modular data centers for hyperscale cloud and colocation providers.",-1,325,JCI.N,0.46362162
91,"Quanta Services, Inc. is a provider of specialty contracting services, delivering infrastructure solutions for the electric and gas utility, communications, pipeline and energy industries in the United States, Canada, Australia and select other international markets. The Company's segments include Electric Power Infrastructure Solutions and Underground Utility and Infrastructure Solution. The Electric Power Infrastructure Solutions segment provides network solutions to customers in the electric power and other industries. Its services include design, new construction, upgrade and maintenance of electric power transmission and distribution infrastructure and substation facilities. The Underground Utility and Infrastructure Solutions segment provides infrastructure solutions, including design, engineering, new construction, upgrade, repair, and maintenance services, to customers involved in the transportation, distribution, storage and processing of natural gas, oil and other products.",-1,91,PWR.N,0.45639622
128,"IDEX Corporation (IDEX) operates an applied solutions business that sells pumps, flow meters and other fluidics systems, and components and engineered products. It segments includes Fluid & Metering Technologies (FMT), Health & Science Technologies (HST) and Fire & Safety/Diversified Products (FSDP). Its FMT segment provides flow monitoring and other services for the food, chemical, water and wastewater, agricultural and energy industries. The HST segment designs and distributes precision fluidics, rotary lobe pumps, roll compaction and drying systems. Its FSDP segment produces firefighting pumps and controls, rescue tools, lifting bags and other components and systems; engineered stainless steel banding and clamping devices, and precision equipment. Its Fire & Safety platform provides Hurst Jaws of Life, which manufactures the rescue tools. It also designs and manufactures pumps for a variety of markets, including mining, marine, power, water, wastewater and other general industries.",-1,128,IEX.N,0.45575386
109,"Ingersoll Rand Inc. is a diversified, global provider of mission-critical flow creation products and industrial solutions. The Company manufactures compressor, pump, vacuum and blower products. Its segments include Industrial Technologies and Services (IT&S) and Precision and Science Technologies. The Company's IT&S segment designs, manufactures, markets and services a broad range of air and gas compression, vacuum and blower products, fluid transfer equipment, loading systems, power tools and lifting equipment. The Company's Precision and Science Technologies segment designs, manufactures and markets specialized positive displacement pumps, fluid management equipment, liquid and precision syringe pumps and compressors, and aftermarket parts.",-1,109,IR.N,0.45328152
412,"The Progressive Corporation is an insurance holding company. The Company's insurance subsidiaries provide personal and commercial automobile and property insurance, other specialty property-casualty insurance and related services. The Company operates through the Personal Lines, Commercial Lines and Property segments. The Company's Personal Lines segment writes insurance for personal autos and recreational vehicles. The Commercial Lines business writes primary liability, physical damage, and business-related general liability and property insurance. It provides property insurance for homes, condos, manufactured homes, and renters, as well as personal umbrella insurance and primary and excess flood insurance. The Company's service business includes commercial auto insurance procedures/plans (CAIP) and commission-based businesses.",-1,412,PGR.N,0.45319307
101,"Pentair plc is a diversified industrial manufacturing company. The Company is engaged in Water Quality Systems business and Flow and Filtration Solutions business. The Water Quality Systems business designs, manufactures, markets and services water system products and solutions to meet filtration and fluid management challenges in food and beverage, water, swimming pools and aquaculture applications. The Flow and Filtration Solutions business is involved in the entire water, water treatment and wastewater system from filtration, desalination, water supply to water disposal, process and control.",-1,101,PNR.N,0.45300138
4637,"ChampionX Corporation provides chemistry solutions and engineered equipment and technologies that help companies drill for and produce oil and gas. The Company operates through four segments: Production Chemical Technologies, Production & Automation Technologies, Drilling Technologies, and Reservoir Chemical Technologies. The Production Chemical Technologies segment offers products and services includes corrosion inhibitors, scale inhibitors, emulsion breakers, and biocides. The Production & Automation Technologies segment designs, manufactures, markets and services a range of artificial lift equipment, digital automation solutions, as well as other production equipment. The Drilling Technologies segment designs, manufactures and markets polycrystalline diamond cutters and bearings under the US Synthetic brand. The Reservoir Chemical Technologies segment manufactures fracturing fluid packages, drilling additives, cement additives and products.",-1,4637,CHX.OQ,0.45120454
5229,"nVent Electric plc is a global provider of electrical connection and protection solutions. The Company designs, manufactures, markets, installs and services products and solutions that connect and protect equipment, buildings and critical processes. The Company’s portfolio of brands include CADDY, ERICO, HOFFMAN, RAYCHEM, SCHROFF and TRACER. The Company operates through three segments: Enclosures, Electrical & Fastening Solutions, and Thermal Management. The Enclosures segment provides solutions to connect and protect critical control systems, electronics, data and electrical equipment. The Electrical & Fastening Solutions segment provides solutions that connect and protect electrical and mechanical systems and civil structures. The Thermal Management segment provides electric thermal solutions that connect and protect critical buildings, infrastructure, industrial processes and people.",-1,5229,NVT.N,0.44543448
5270,"ETC Sunoco Holdings LLC is a United States-based petroleum oil company. The Company is engaged in operating as a petroleum refiner and marketer and chemicals manufacturer with interests in logistics and coke making. It distributes fuel to over 5,000 gas station locations in more than 30 states. It markets gasoline and middle distillates, and offers a broad range of convenience store merchandise.",-1,5270,SUN.N^J12,0.44361538
171,"Huntington Ingalls Industries, Inc. is a military shipbuilding company and a provider of professional services to partners in government and industry. The Company's business consists of the design, construction, repair and maintenance of nuclear-powered ships and non-nuclear ships for the United States Navy and coastal defense surface ships for the United States Coast Guard, as well as the refueling and overhaul and inactivation of nuclear-powered ships for the United States Navy. It operates through three segments: Ingalls Shipbuilding (Ingalls), Newport News Shipbuilding (Newport News) and Technical Solutions. Its Ingalls segment includes its non-nuclear ship design, construction, repair and maintenance businesses. Its Newport News includes all of its nuclear ship design, construction, overhaul, refueling, and repair and maintenance businesses. Its Technical Solutions segment provides a range of professional services to the governmental and energy markets.",-1,171,HII.N,0.44162643
112,"Fortune Brands Home & Security, Inc. is a home and security products company. The Company operates in three segments: Cabinets, Plumbing and Outdoors & Security. Cabinets segment manufactures semi-custom and custom cabinetry, as well as vanities, for the kitchen, bath and other parts of the home under the Diamond, Aristokraft, Mid-Continent, Kitchen Craft, Homecrest, Omega, StarMark, Schrock, Decora and Mantra brands. Plumbing segment manufactures or assembles and sells faucets, accessories, kitchen sinks and waste disposals under the Moen, Riobel, Victoria+Albert, Perrin & Rowe and Shaws brands. Outdoors & Security segment manufactures and sells fiberglass and steel entry door systems under the Therma-Tru brand name, composite decking and railing under the Fiberon brand name, and urethane millwork under the Fypon brand name. It also manufactures, sources and distributes locks, safety and security devices, and electronic security products under the Master Lock and American Lock brands.",-1,112,FBHS.N,0.43654293
141,"Ameriprise Financial, Inc. is a holding company. The Company offers a range of financial planning and advice products and services designed to achieve individual and institutional clients’ financial objectives. It operates through segments, including Advice & Wealth Management, Asset Management and Retirement & Protection Solutions. It offers products and services under brands, including Ameriprise Financial, Columbia Threadneedle Investments and RiverSource. Ameriprise Financial brand includes its advisor network and certain of its retail products and services. Its Columbia Threadneedle Investments brand represents the combined capabilities, resources and reach of Columbia Management Investment Advisers, LLC (Columbia Management) and Threadneedle. It uses the RiverSource brand for its annuity and protection products issued by RiverSource Life Insurance Company (RiverSource Life) and RiverSource Life Insurance Co. of New York (RiverSource Life of NY).",-1,141,AMP.N,0.43595022
220,"Emerson Electric Co. is a global technology, software and engineering company that provides various solutions for customers in industrial, commercial and residential markets. The Company's segments include Automation Solutions; and Climate Technologies and Tools & Home Products, which together comprise the Commercial & Residential Solutions business. Its Automation Solutions segment offers an array of products, integrated solutions, software and services, which enable process, hybrid and discrete manufacturers to optimize production, protect personnel and the environment. It serves various markets, including oil and gas, power generation and life sciences. The Company's Commercial & Residential Solutions business provides products and solutions that promote energy efficiency, enhance household and commercial comfort, and protect food quality and sustainability through heating, air conditioning and refrigeration technology, as well as a broad range of tools and appliance solutions.",-1,220,EMR.N,0.43125913
5250,"Resideo Technologies, Inc. is a provider of security solutions primarily in residential environments. The Company operates through two segments: Products & Solutions, and ADI Global Distribution. The Products & Solutions segment consists of comfort, security, residential thermal (RTS) products and solutions. Its offerings include temperature and humidity control, thermal water and air solutions, as well as security panels, sensors, peripherals, wire and cable, communications devices, video cameras, awareness solutions, cloud infrastructure, installation and maintenance tools, and related software. ADI Global Distribution segment is the wholesale distributor of low-voltage security products including intrusion, telecom, network and audio-video (AV), access control and video products and participates in the broader related markets of smart home, fire, access control, power, audio, ProAV, networking, communications, wire and cable, enterprise connectivity, and structured wiring products.",-1,5250,REZI.N,0.4285791
502,"Jacobs Engineering Group Inc. provides a range of engineering, design, and architectural services, construction and construction management services, operations and maintenance services, scientific, and systems consulting services. Its segments include Critical Mission Solutions (CMS) and People & Places Solutions (P&PS) and PA Consulting. CMS segment provides a range of cyber, data analytics, systems and software application integration services and consulting, enterprise level operations and maintenance, engineering and design, enterprise operations and maintenance, program management, and other technical consulting solutions. CMS also licenses internally developed technology such as KeyRadar, Ginkgo and ion. P&PS segment provides end-to-end solutions for clients, such as whether climate change, energy transition, connected mobility, integrated water management, and smart cities/vaccine manufacturing. PA provides consulting services based on its purpose and operates worldwide.",-1,502,J.N,0.42717573
254,"Martin Marietta Materials, Inc. is a natural resource-based building materials company. The Company supplies aggregates (crushed stone, sand, and gravel) through its network of approximately 310 quarries, mines and distribution yards in Canada and The Bahamas. In the southwestern and western United States, the Company also provides cement and downstream products and services, including ready-mixed concrete, asphalt, and paving services, in markets that are naturally vertically integrated. The Company has cement plants in Texas, and ready mixed concrete and asphalt operations in Texas, Colorado, and Wyoming. Asphalt operations and paving services are in Colorado. The Company conducts its Building Materials Business through two segments, East Group and West Group. The East Group provides aggregates products only. The West Group provides aggregates, cement, and downstream products. The Company’s Magnesia Specialties Business includes magnesia-based chemicals and dolomitic lime businesses.",-1,254,MLM.N,0.42650154
377,"PPG Industries, Inc. manufactures and distributes a range of coatings and specialty materials. The Company has two segments: Performance Coatings and Industrial Coatings. Performance Coatings segment includes the refinish, aerospace, protective and marine, architectural businesses. Industrial Coatings segment includes the automotive original equipment manufacturer (OEM), industrial coatings, packaging coatings, coatings services and specialty coatings and materials businesses. The Company's brands include PPG, GLIDDEN, COMEX, OLYMPIC, DULUX, SIKKENS, PPG PITTSBURGH PAINTS, MULCO, FLOOD, LIQUID NAILS, SICO, RENNER, TAUBMANS, WHITE KNIGHT, BRISTOL, HOMAX, DEKORAL, TRILAK, GORI, and BONDEX, among others. It also provides pavement markings and traffic safety solutions with products, including traffic paint, hot-applied and preformed thermoplastics, raised pavement markers and intelligent transportation systems. It also manufactures coatings for industrial and automotive applications.",-1,377,PPG.N,0.4193474
259,"Penn National Gaming, Inc. is an owner and manager of gaming and racing properties, retail and online sports betting operations, and video gaming terminal (VGT) operations. Its segments include Northeast, South, West, and Midwest. The Northeast segment consists of various properties, including Ameristar East Chicago, Greektown Casino-Hotel, Hollywood Casino Bangor, Hollywood Casino Columbus, and Hollywood Casino Toledo. South segment consists of various properties, including Ameristar Vicksburg, Boomtown Biloxi, Boomtown Bossier City, Boomtown New Orleans, L’Auberge Lake Charles, and Margaritaville Resort Casino. West segment consists of various properties, including Ameristar Black Hawk, Cactus Petes, and Horseshu, Tropicana Las Vegas, Zia Park Casino, and M Resort. The Midwest segment consists of various properties, including Ameristar Council Bluffs, Argosy Casino Alton, Argosy Casino Riverside, Hollywood Casino Aurora, Hollywood Casino Joliet, and Hollywood Casino St. Louis.",-1,259,PENN.OQ,0.419285
5,"Waste Management, Inc. (WM) is a holding company. The Company provides waste management environmental services in North America, providing services throughout the United States and Canada. Through its subsidiaries, the Company provides collection, transfer, disposal services, and recycling and resource recovery. It also develops, operates and owns landfill gas-to-energy facilities in the United States. The Company’s customers include residential, commercial, industrial, and municipal customers throughout North America. The Company's segments include Solid Waste and Other. The Company's Solid Waste segment includes its solid waste business. The Other segment includes its Strategic Business Solutions (WMSBS) organization; its landfill gas-to-energy operations and third-party subcontract and administration services managed by its Energy and Environmental Services (EES) and WM Renewable Energy businesses.",-1,5,WM.N,0.41666386
40,"NVR, Inc. is engaged in the construction and sale of single-family detached homes, townhomes and condominium buildings. The Company's segments are Homebuilding Mid Atlantic, Homebuilding North East, Homebuilding Mid East and Homebuilding South East. Its Homebuilding Mid Atlantic segment operates in various geographic regions, which include Maryland, Virginia, West Virginia, Delaware and Washington, District of Columbia (D.C.). Its Homebuilding North East segment operates in various geographic regions, which include New Jersey and Eastern Pennsylvania. Its Homebuilding Mid East segment operates in various geographic regions, which include New York, Ohio, Western Pennsylvania, Indiana and Illinois. The Homebuilding South East segment operates in various geographic regions, which include North Carolina, South Carolina, Florida and Tennessee. It also provides mortgage-related services to home building customers through its mortgage banking operations.",-1,40,NVR.N,0.41636667
150,"Lennar Corporation is a homebuilder and an originator of residential and commercial mortgage loans. The Company is also a provider of title insurance and closing services, and a developer of multifamily rental properties. The Company's segments include Homebuilding East, Homebuilding Central, Homebuilding Texas, Homebuilding West, Financial Services, Multifamily and Lennar other. Its Homebuilding operations is engaged in construction and sale of single-family attached and detached homes as well as purchase, development and sale of residential land to third parties. The Company's Financial Services segment provides mortgage financing, title and closing services, as well as property and casualty insurance. Its Multifamily segment is engaged in developing, construction and property management of multifamily rental properties. The Lennar Other segment is principally engaged in fund investments, which invests in technology initiatives that includes Opendoor, States Title and Notarize.",-1,150,LEN.N,0.4136755
5161,"Southern Company Gas is a United States-based natural gas utility company. The Company serves approximately 4.3 million natural gas utility customers through it's regulated distribution companies in four states and approximately 666,000 retail customers through it's companies that market natural gas. It's nonutility businesses include investments in interstate pipelines and ownership and operation of natural gas storage facilities.",-1,5161,GAS.N^G16,0.41323203
428,"Trane Technologies PLC, formerly Ingersoll-Rand Public Limited Company, provides global climate solutions. The Company offers its products under the brands, such as Trane and Thermo King. Its segments include Americas segment, which innovates for customers in the North America and Latin America regions and includes commercial heating and cooling systems, building controls, and energy services and solutions; residential heating and cooling; and transport refrigeration systems and solutions; EMEA segment, which innovates for customers in the Europe, Middle East and Africa region and includes heating and cooling systems, services and solutions for commercial buildings, and transport refrigeration systems and solutions, and Asia Pacific segment, which innovates for customers throughout the Asia Pacific region and India and includes heating and cooling systems, services and solutions for commercial buildings and transport refrigeration systems and solutions.",-1,428,TT.N,0.41290256
62,"Newell Brands Inc. is a consumer goods company. The Company’s segments include Commercial Solutions, Home Appliances, Home Solutions, Learning and Development and Outdoor and Recreation. Commercial Solutions, which offers a range of brands, including BRK, First Alert, Mapa, Quickie, Rubbermaid Commercial Products, and Spontex. Home Appliances offers household products, including kitchen appliances. It also offers a range of brands, including Calphalon, Crock-Pot, Mr. Coffee, Oster and Sunbeam. Home Solutions, which provides food and home storage products, fresh preserving products, gourmet cookware, bakeware and cutlery and home fragrance products. Learning and Development, which provides baby gear and infant care products; writing instruments, including markers and highlighters, pens and pencils; art products; activity-based adhesive and cutting products and labeling solutions. Outdoor and Recreation, which offers a range of brands, including Coleman, Contigo, ExOfficio and Marmot.",-1,62,NWL.OQ,0.4118726
5182,"ILG, Inc., formerly Interval Leisure Group, Inc., is a United States-based company. The Company is a provider of professionally delivered vacation experiences. It is a global licensee for the Hyatt, Westin and Sheraton brands in vacation ownership. The Company operates through two segments: Exchange and Rental, and Vacation Ownership. It’s Exchange and Rental segment offers access to vacation accommodations and other travel-related transactions and services to leisure travelers, by providing vacation exchange services and vacation rental, working with resort developers and operating vacation rental properties. It’s Vacation Ownership segment engages in the management of vacation ownership resorts; sales, marketing, and financing of vacation ownership interests, and related services to owners and associations.",-1,5182,IILGV.OQ^E16,0.41058886
2010,"First Solar, Inc is a provider of photovoltaic (PV) solar energy solutions. The Company designs, manufactures and sells PV solar modules with a thin-film semiconductor technology. The Company also develops, designs, constructs and sells PV solar power systems that primarily use the modules it manufactures and provide operations and maintenance (O&M) services to system owners. It operates through two segments: modules and systems. The modules segment is involved in the design, manufacture, and sale of CdTe solar modules, which convert sunlight into electricity. The systems segment provides power plant solutions in certain markets, which include project development, engineering, procurement, and construction (EPC) services, and O&M services. Its customers include utilities, independent power producers, commercial and industrial companies, and other system owners.",-1,2010,FSLR.OQ,0.40876892
246,"The Clorox Company is a manufacturer and marketer of consumer and professional products. The Company sells its products primarily through mass retail outlets, grocery outlets; warehouse clubs; dollar stores; home hardware centers; drug, pet and military stores; third-party and owned e-commerce channels; and distributors. The Company operates through four segments: Health and Wellness, Household, Lifestyle and International. The Health and Wellness segment consists of cleaning products, professional products, and vitamins, minerals and supplement products. Its Household segment consists of cat litter products, bags and wraps, and grilling products. Its Lifestyle segment consists of food, natural personal care products, and water-filtration systems. Its International segment consists of products sold outside the United States. It markets various consumer brand names, such as namesake bleach and cleaning products, Pine-Sol cleaners, Liquid-Plumr clog remover and Poett home care products.",-1,246,CLX.N,0.40733522
77,"Ball Corporation is a United States-based company. The Company is focused on suppling aluminum packaging for the beverage, personal care and household products industries. The Company’s sustainable and aluminum packaging products are produced for a various of end uses and are manufactured in facilities worldwide. It also provides aerospace and other technologies and services to governmental and commercial customers within its aerospace segment. The Company’s segments include beverage packaging, North and Central America; beverage packaging, Europe, Middle East and Africa (beverage packaging, EMEA); beverage packaging, South America and aerospace. The Company produces spacecraft, instruments and sensors, radio frequency systems and components, data exploitation solutions and a range of advanced technologies and products that enable weather prediction and climate change monitoring.",-1,77,BLL.N,0.40708667
5089,"Andeavor, formerly Tesoro Corporation, is an independent petroleum refining, logistics and marketing company. he Company operates through three segments. The Refining operating segment refines crude oil and other feedstocks into transportation fuels, such as gasoline and gasoline blendstocks, jet fuel and diesel fuel, as well as other products, including heavy fuel oils, liquefied petroleum gas and petroleum coke for sale in bulk markets to a range of customers within its markets. The TLLP segment comprises Tesoro Logistics LP's (TLLP) assets and operations, and includes certain crude oil and natural gas gathering assets, natural gas and natural gas liquids (NGLs) processing assets, and crude oil and refined products terminaling, and transportation. The marketing segment sells transportation fuels through branded and unbranded channels.",-1,5089,ANDV.N^J18,0.4034038
5186,"Johnson Controls, Inc. is a technology company. The Company provides products, services and solutions to optimize energy and operational efficiencies of buildings; lead-acid automotive batteries and advanced batteries for hybrid and electric vehicles, and seating and interior systems for automobiles. The Company operates in two segments: Building Efficiency and Power Solutions. The Building Efficiency segment offers designing, producing, marketing and installing integrated heating, ventilating and air conditioning (HVAC) systems, building management systems, controls, security and mechanical equipment. The Power Solutions segment offers lead-acid automotive batteries for passenger cars, light trucks and utility vehicles. The Company serves both automotive original equipment manufacturers (OEMs) and the general vehicle battery aftermarket. The Company also supplies advanced battery technologies to power start-stop, hybrid and electric vehicles.",-1,5186,JCI.N^I16,0.4033096
