,Instrument,Business Description
10,SLRS.MC,"Solaria Energia y Medio Ambiente SA (Solaria) is a Spain-based company engaged, together with its subsidiaries, in the renewable energy sector. The Company’s activities comprise the designing and installation of solar, thermal, photovoltaic and wind energy plants. The Company’s business is structured in three areas: Photovoltaic and Thermal Panels division, which is engaged in the development, production and sale of the solar panels. Turnkey Projects division includes the processing of licenses and permits, planning and design of photovoltaic systems, supervision and coordination of the construction of facilities, drafting and technical management of projects, as well as the set-up and maintenance of the installations. In the Generation division the Company develops, manages and operates its own photovoltaic plants."
11,PHMR.MC,"Pharma Mar SA is a Spain-based integrated biopharmaceutical company focused on oncology and committed to research and development (R&D) of antitumor drugs of marine origin. The Company, through its subsidiaries, operates three business segments: Oncology, Diagnostics and RNA interference. The Oncology segment encompasses research, develop and market anti-tumor drugs. The Diagnostics segment includes the development and marketing of diagnostic kits. The RNA interference segment consist of the development of drugs with therapeutic activity based on reducing or silencing gene expression. The Company’s product portfolio includes Yondelis and ZEPZELCA. Yondelis (trabectedin) is indicated for the treatment of advanced soft tissue sarcoma, as well as for the treatment of relapsed platinum-sensitive ovarian cancer. ZEPZELCA (lurbinectedin) is indicated for the treatment of metastatic small cell lung cancer (SCLC) with disease progression. The Company is active globally."
12,NTGY.MC,"Naturgy Energy Group SA, formerly Gas Natural SDG SA, is a Spain-based company active in the energy sector. The Company's activities are divided into four business segments: Gas & Electricity, which includes generation and renewables businesses, gas supply, marketing and logistics of liquefied natural gas (LNG) worldwide, as well as gas and electricity commercialization in Europe; Infrastructure Spain & EMPL - Medgaz, which comprises gas and electricity network businesses in Spain and the Maghreb gas pipelines; Infrastructure Latin America South Zone that implies gas and electricity networks businesses in Chile, Argentina, Brazil and Peru, and Infrastructure Latin America North Zone, which includes gas and electricity network businesses in Mexico and Panama."
13,CLNX.MC,"Cellnex Telecom SA is a Spain-based company engaged in the wireless telecommunications (telecom) business. Its activities are divided into three segments: Broadcasting infrastructure, Telecom site rental, as well as Network services and other. The Broadcasting infrastructure division comprises distribution and transmission of television (TV) and frequency modulation (FM) radio signals, operation and maintenance (O&M) of radio broadcasting network, as well as over-the-top (OTT) radio services, among others. The Telecom site rental division provides access to wireless infrastructure, primarily through infrastructure hosting and telecom equipment co-location, mainly for mobile network operators and other wireless and broadband telecom network operators. The Network services and other division offers connectivity services for a variety of telecom operators and radio communication, among others. The Company also develops 5th generation mobile networks (5G) through Alticom BV."
14,REE.MC,"Red Electrica Corporacion SA is a Spain-based company engaged in the energy sector. The Company, through Red Electrica de Espana SAU (REE), focuses on the management of the Spanish high-voltage transmission grid, as well as is responsible for its development, maintenance and improvement of the network’s installations. Its activities also include the coordination among generation, transmission and distribution process of electric energy. In addition, the Company manages and leases telecommunications infrastructure, in particular fiber optic cables. The Company is a parent of the Red Electrica Group and operates through its subsidiaries and affiliates in a number of countries, such as Spain, the Netherlands, Luxembourg, Peru, Chile and France."
15,IDR.MC,"Indra Sistemas SA is a Spain-based company engaged in the field of information technology (IT). The Company divides its activities into two segments: Solutions and Services. The Solutions segment provides consulting and technology solutions, such as systems and components for compiling, processing, transmitting and presenting data for use in the control and management processes. The Services segment offers the IT and business processes outsourcing. The Company is present in various sectors, such as transportation, energy and industry, public administration and healthcare, financial, security and defense, telecommunications and touristic. The Company is a parent of numerous subsidiaries, which operate in Europe, Africa, North and South America, Asia, as well as Middle East and Pacific region."
16,MRL.MC,"MERLIN Properties SOCIMI SA is a Spain-based company engaged in the operation of a real estate investment trust (REIT). The Company focuses on the acquisition, management and rental of commercial properties located in the Iberian Peninsula, primarily in Spain. The Company's activities are divided into the following segments: Office buildings, operating a portfolio of office space; High-street retail, engaged in leasing retail stores; Shopping centers, engaged in managing department stores; Logistics, operating logistics warehouses and distribution centers, and Others. The Company's other activities include property management services rendered to third parties."
17,ANA.MC,"Acciona SA is a Spain-based holding company primarily engaged in the renewable utilities sector. The Company's activities are divided into five business segments: Energy, responsible for the renewable energy production, distribution and commercialization, as well as construction of wind farms; Infrastructure Construction, including construction and engineering activities, as well as transport and hospital concessions; Water, offering construction of desalination and water treatments plants, drinking water stations, as well as management of water cycle process; Service, providing facility services, airport handling services, waste collection and treatment, as well as logistics services, among others, and Other Activities, including fund management, stock brokerage, wine production, activities related to Acciona Trasmediterranes business and other investments. The Company operates worldwide through numerous subsidiaries."
18,SABE.MC,"Banco de Sabadell SA is a Spain-based financial institution (the Bank) primarily engaged in the banking sector. The Bank's activities are divided into four segments: Banking in Spain, Asset transformation, Banking in the United Kingdom (UK) and Banking in America. The Banking in Spain division includes commercial banking products, such as mortgage loans, deposit accounts, insurance policies and mutual funds; corporate banking products, such as customized financing and treasury, as well as markets and private banking investment. The Asset transformation division focuses on real estate operations and management. The Banking in UK division includes TSB Banking Group PLC that offers current and savings accounts, personal loans, credit cards and mortgages. The Banking in America division provides retail and commercial banking services, as well as solutions for corporate customers, such as project finance operations. The Bank operates through numerous subsidiaries."
19,ALM.MC,"Almirall SA is a Spain-based company principally engaged in the pharmaceuticals manufacture. The Company focuses on development and marketing of drugs applied in various therapeutic areas, such as nervous system, gastrointestinal, dermatological, respiratory system, antiinfectives, as well as antineoplastic and immunomodulating agents. The Company's activities are divided into four business segments: Own network, which focuses on the commercialization of pharmaceuticals through own brand names; Licenses, which sells product rights to third parties; Research and development (R&D), which is responsible for the creation of drug candidates, as well as Dermatology, which includes sale of dermatological medicines in the United States. The Company operates through numerous subsidiaries in Europe, the Americas, Africa, Asia and Australia."
20,GRLS.MC,"Grifols SA is a Spain-based global specialty pharmaceutical company developing, manufacturing and distributing a broad range of biological medicines based on plasma derived proteins. It organizes its business into five divisions: Bioscience, Diagnostic, Hospital, Bio Supplies and Others. Bioscience includes manufacturing activities of plasma derivatives for therapeutic use and the sale and distribution of end products. Diagnostic focuses on researching, developing, manufacturing and marketing in vitro diagnostics products, such as analytical instruments, reagents and software, among others, for laboratories. Hospital offers technology and services for hospitals, clinics and specialized centers for the manufacture of medicines, as well as physiological saline solution, enteral nutritional fluids and medical devices for interventional therapy. Bio Supplies provides, mostly, biological products for non-therapeutic use. Others provides manufacturing services to third party companies."
21,CIEA.MC,"CIE Automotive SA is a Spain-based company engaged, through its subsidiaries, in the production of biofuels, as well as in the supply of components and subassemblies for the automotive industry. The Company is also involved in the Information Technology (IT) sector, with the provision of technological solutions for the healthcare, education, sustainability, transport and communications sectors. The Company is a parent of Grupo CIE Automotive, a group which comprises a number of controlled entities with operations established in Spain, Portugal, France, Lithuania, Morocco, Czech Republic, Romania, Brazil, Argentina, China, Russia, Guatemala and Mexico, among others. The Company has such subsidiaries as Global Dominion Access SA, CIE Inversiones e Inmuebles Sociedad Limitada and CIE Berriz Sociedad Limitada, among others. In February 2014, the Company acquired a 50% stake in RS Automotive NV owned by VEP Fund I Holding Cooperatief WA."
22,MTS.MC,"ArcelorMittal SA is a Luxembourg-based holding company. The Company, via its subsidiaries, owns and operates steel, iron ore manufacturing and coal mining facilities in Europe, North and South America, Asia, and Africa. The Company is organized in five operating segments: NAFTA; Brazil; Europe; Africa and Commonwealth of Independent States (ACIS), and Mining. The NAFTA, Brazil, Europe, and ACIS segments produce flat, long, and tubular products including slabs, hot-rolled coil, cold-rolled coil, coated steel products, among others. The Mining segment provides steel operations and comprises all mines owned by the Company in the Americas, Europe, Africa, and countries of the Commonwealth of Independent States (CIS)."
23,BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A. (BBVA) is a Spain - based bank. It is a diversified financial company engaged in retail banking, wholesale banking, asset management and private banking. Its segments are: Spain, the United States, Turkey, Mexico, South America and Rest of Eurasia. The activities in Spain are banking activity and Insurance. In the United States it offers services through, BBVA USA and the BBVA New York branch. The Turkey segment is represented by the group Garanti BBVA, an integrated financial services group, that also operate in Holland and Romania. The Mexico segment activities include banking and insurance businesses. In South America, it provides banking and insurance businesses. The Rest of Eurasia segment includes business activity in the rest of Europe and Asia"
24,MAP.MC,"Mapfre SA is a Spain-based company engaged in the insurance sector. The Company's activities are divided into four business units: Insurance, Assistance, Reinsurance and Global Risks. The Insurance line offers insurance policies, including life, accident, health, property and casualty and automotive insurance, among others. The Assistance line focuses on developing assistance services for insurance products, including road and travel assistance. The Reinsurance line is responsible for reinsurance activities. The Global Risks line offers integrated insurance services, such as risk prevention and protection, audit and control, for business customers. In addition, the Company is active in the management of pension funds, retirement plans and investment funds, as well as the provision of healthcare services in Spain. The Company operates in Europe, Africa, Asia and the Americas. It is a parent of the Mapfre Group."
25,IBE.MC,"IBERDROLA, S.A. is engaged in carrying out electricity and gas activities in Spain and abroad. The Company's segments include Network business, Deregulated business, Renewable business and Other businesses. The Company's Network business segment includes all the energy transmission and distribution activities, and any other regulated activity originated in Spain, the United Kingdom, the United States and Brazil. Its Deregulated business segment includes electricity generation and sales businesses, as well as gas trading and storage businesses carried on by the Company in Spain, Portugal, the United Kingdom and North America. Its Renewable business segment includes activities related to renewable energies in Spain, the United Kingdom, the United States and the rest of the world. Its Other businesses segment includes the engineering and construction businesses and the non-power businesses. The Company offers its customers power and natural gas, both in the wholesale and retail markets."
26,COL.MC,"Inmobiliaria Colonial SOCIMI SA, formerly Inmobiliaria Colonial SA, is a Spain-based company engaged in the operation of real estate investment trust (REIT). The Company's activities are divided into two business segments: Property rental, as well as Land and development. The Property rental division focuses on the acquisition, development, leasing and sale of office buildings in Europe. The Land and development division includes shopping centers managed by the Riofisa subgroup. The Company’s real estate portfolio comprises office buildings located in Barcelona and Madrid, Spain, as well as Paris, France. The Company controls a number of subsidiaries, such as Torre Marenostrum SL, Societe Fonciere Lyonnaise SA, Danieltown Spain SLU and Colonial Invest SLU."
27,ITX.MC,"Industria de Diseno Textil SA, known as Inditex SA, is a Spain-based company primarily engaged in the textile industry. The Company’s activities include the design, confection, manufacturing, distribution and retail of men, women and children apparel, footwear and fashion accessories, as well as home furnishings and household textile products. The Company’s business is divided into three segments: Zara, which provides various fashion and home items under the Zara brand name; Bershka, offering clothes under the Bershka brand name, which aims at teenagers, and Other, which retails apparel under Stradivarius, Oysho, Pull&Bear and Massimo Dutti brand names, among others. The Company operates worldwide through numerous subsidiaries. It is controlled by Pontegadea Inversiones SL."
28,VIS.MC,"Viscofan SA is a Spain-based company engaged in the packaging industry, mainly for meat products. The Company focuses on the manufacture and distribution of artificial castings, as well as plastic films that are used for separation of sliced food. Its products range includes cellulose, collagen, fibrous and plastic castings. In addition, it designs and produces packing machinery, as well as provides related spare parts. The Company also sells electric power, which is produced by cogeneration systems. The Company operates manufacturing plants and sales offices in Spain, Serbia, Czech Republic, Germany, Brazil, Mexico, Uruguay, China and the United States, among others. It controls a number of subsidiaries, such as Nanopack, Technology and Packaging SL, Naturin Viscofan GmbH and Viscofan Centroamerica Comercial SA."
29,MEL.MC,"Melia Hotels International SA, formerly Sol Melia SA, is a Spain-based company primarily engaged in the hospitality sector. The Company focuses on the management and exploitation of hotel chains. Its activities are divided into three business segments: Hotels, Real Estate and Club Melia. The Hotels division administrates hotels under management and franchise agreements, operates own or leased hotels, as well as offers other entertainment activities, such as casino games and organized tours. The Real Estate division includes real estate development and operations. The Club Melia division operates vacation club complexes. The Company’s brand names portfolio comprises Gran Melia, Paradisus, Melia, Innside by Melia, Tryp by Wyndham and Sol Hotels, among others. The Company operates through numerous subsidiaries in Europe, the Americas, Africa and Asia."
30,FER.MC,"Ferrovial SA is a Spain-based company engaged in the transportation infrastructure sector. The Company’s activities are divided into four business segments: Services, Toll roads, Construction and Airports. The Services division focuses on cleaning and maintenance of public and private infrastructure, facilities and buildings, including such as sport centers, healthcare facilities and train stations, as well as waste collection and treatment. The Toll roads division offers toll highways development, financing and operation. The Construction division develops public and private infrastructure projects, including roads, railways, hydraulic projects and maritime works, among others. The Airports division specializes in the airport infrastructure construction and management. The Company operates through numerous subsidiaries in Europe, the Americas, Middle East and Australia."
31,CABK.MC,"Caixabank SA is a Spain-based bank. Its activities are divided into two business segments: Banking and insurance, as well as Investments. The Banking and insurance division provides financial services for individual customers, including retail, private and personal banking, business customers, such as commercial and corporate banking, cash management and markets solutions, as well as offers insurance products. The Investments division includes investments in the international banking investee portfolio, as well as stakes in other companies, such as Repsol SA and Telefonica SA. The Bank operates through domestic and foreign branches, as well as representative offices in Europe, the Americas, Africa and Asia. It is a subsidiary of Criteria Caixa SA."
32,BKT.MC,"Bankinter SA is a Spain-based financial institution (the Bank) primarily engaged in the banking sector. The Bank's activities are divided into four business segments: Commercial banking, which offers current accounts, fixed-term deposits, investment management and advisory, as well as mortgage loans, among others, to individual customers; Corporate banking, which provides financial services to small and medium-sized companies, corporations and government bodies; Consumer finance, which focuses on personal loans and credit card services through Bankinter Consumer Finance EFC, and Other, which includes online savings accounts, among others. The Company operates through numerous subsidiaries, such as Bankinter Gestion de Activos SGIIC, Hispamarket SA, Bankinter Capital Riesgo SGECR SA and Bankinter Sociedad de Financiacion SAU."
33,FLUI.MC,"Fluidra SA is a Spain-based company active in the pool and wellness equipment business. The Company provides products, services and Internet of Things solutions business-related. It owns a portfolio of brands, including Jandy, AstralPool, Polaris, Cepex, Zodiac, CTX Professional and Gre, among others. The Company operates in over 45 countries."
34,ACX.MC,"Acerinox SA is a Spain-based company active in the steel sector. It is engaged in the manufacturing, alloy and distribution of flat and long stainless steel products. The Company’s activities are divided into three business segments: Flat stainless steel products, which offers slabs, flats, coils, plates, sheets, circles and flat bars; Long stainless steel products, which provides bars, angles, wires and wire rod, and Other, which includes other stainless steel products. The Company owns factories, warehouses, service centers and representative office in Europe, the Americas, Asia, Oceania and Africa. The Company is a parent of the Acerinox Group, which comprises a number of subsidiaries, such as Acerinox Europa SAU, North American Stainless Inc, Columbus Stainless Pty Ltd, Bahru Stainless SDN BHD, Roldan SA and Inoxfil SA."
